applicant_age,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,employment_status,education,marital_status,dependents,property_area,self_employed,existing_loans,monthly_expenses,savings,debt_to_income_ratio,loan_status,risk_category
51,65986,0,22000,48,1,Employed,Graduate,Single,1,Semiurban,No,0,26576,45113,0.4,Approved,Low Risk
32,65364,22232,85000,24,1,Employed,Graduate,Married,1,Urban,No,1,37583,102017,0.68,Approved,Low Risk
33,28589,0,27000,48,1,Employed,Not Graduate,Married,4,Semiurban,No,0,13716,33627,0.48,Rejected,Low Risk
37,40374,0,16000,48,1,Employed,Not Graduate,Married,2,Rural,No,0,15524,38356,0.43,Approved,Low Risk
38,118753,10944,84000,36,1,Unemployed,Not Graduate,Married,1,Rural,No,0,54246,109760,0.47,Approved,Low Risk
47,72936,0,89000,84,,Employed,Graduate,Single,0,Urban,No,1,27629,21560,0.45,Approved,Low Risk
38,30298,0,37000,12,0,Employed,Not Graduate,Single,0,Rural,No,0,7809,19564,0.26,Rejected,High Risk
56,112489,0,134000,60,1,Employed,Graduate,Married,0,Rural,No,2,36802,69159,0.48,Approved,Low Risk
35,25511,29216,55000,84,1,Unemployed,Not Graduate,Married,4,Rural,No,2,8674,17327,0.49,Approved,High Risk
42,63904,22980,27000,120,1,Employed,Not Graduate,Married,1,Semiurban,No,0,23588,38669,0.37,Approved,Low Risk
28,42790,0,44000,360,1,Employed,Not Graduate,Single,2,Semiurban,No,2,22932,74833,0.69,Approved,High Risk
36,25522,26768,27000,24,1,Unemployed,Not Graduate,Married,,Rural,No,0,12127,32542,0.48,Approved,Low Risk
41,25293,0,25000,60,1,Employed,Graduate,Married,0,Semiurban,No,1,6166,5735,0.32,Rejected,Low Risk
26,49348,0,28000,120,1,Employed,Graduate,Single,4,Semiurban,No,0,16688,38606,0.34,Approved,Low Risk
34,76850,0,48000,60,,Employed,Graduate,Single,1,Urban,No,1,39544,64155,0.59,Rejected,Low Risk
40,37556,17997,122000,48,1,Unemployed,Not Graduate,Married,0,Rural,No,0,16777,56711,0.46,Approved,High Risk
21,27334,0,33000,60,1,Unemployed,Graduate,Single,3,Rural,No,0,14087,18221,0.55,Rejected,High Risk
32,49389,34899,21000,24,,Employed,Not Graduate,Married,1,Semiurban,Yes,0,15340,31374,0.31,Approved,Low Risk
35,59547,13780,101000,360,1,Unemployed,Graduate,Married,1,Urban,No,4,21816,0,0.69,Rejected,High Risk
39,35748,19724,35000,120,1,Employed,Graduate,Married,1,Semiurban,No,0,18899,47702,0.54,Approved,Low Risk
48,52373,20328,86000,180,1,Unemployed,Graduate,Married,2,Urban,No,2,22234,59024,0.58,Rejected,High Risk
48,87942,0,26000,24,1,Unemployed,Graduate,Married,2,Semiurban,No,0,37636,174683,0.43,Approved,Low Risk
38,45204,0,10000,120,1,Employed,Not Graduate,Married,0,Rural,No,0,18162,68172,0.43,Approved,Low Risk
38,29433,21458,17000,240,1,Unemployed,Graduate,Married,1,Urban,No,0,14756,12371,0.52,Approved,Low Risk
48,39932,0,13000,12,1,Employed,Not Graduate,Single,4,Semiurban,No,4,20910,22956,0.82,Rejected,High Risk
38,32113,0,21000,24,,Employed,Not Graduate,Married,3,Rural,No,1,18867,0,0.7,Rejected,High Risk
22,22113,22407,40000,36,1,Employed,Not Graduate,Married,2,Urban,No,0,7553,28916,0.36,Approved,Low Risk
49,55855,35334,134000,36,1,Unemployed,Graduate,Married,3,Semiurban,No,1,26378,35554,0.56,Approved,Medium Risk
39,175698,0,277000,36,1,Unemployed,Not Graduate,Single,0,Urban,No,1,67353,192419,0.46,Approved,Low Risk
31,51579,0,27000,180,1,Employed,Not Graduate,Married,1,Urban,No,2,12883,42317,0.44,Approved,Low Risk
34,52267,0,57000,60,0,Employed,Graduate,Married,0,Rural,No,1,19098,12676,0.44,Rejected,High Risk
28,40416,0,13000,48,1,Employed,Not Graduate,Single,0,Rural,No,0,15489,34277,0.38,Approved,Low Risk
52,34103,0,17000,12,1,Employed,Not Graduate,Married,4,Rural,No,1,15863,21688,0.54,Rejected,Medium Risk
45,79840,17361,100000,240,1,Employed,Graduate,Married,3,Rural,No,1,35251,112548,0.52,Approved,Low Risk
28,67650,17315,123000,60,0,Unemployed,Graduate,Married,4,Urban,No,0,33689,39792,0.5,Rejected,High Risk
38,52038,0,18000,84,1,Employed,Not Graduate,Married,0,Semiurban,No,0,21273,51228,0.41,Approved,Low Risk
37,54379,0,34000,36,1,Employed,Graduate,Single,3,Urban,No,0,24075,94567,0.44,Approved,Low Risk
31,49835,0,50000,60,1,Unemployed,Graduate,Married,3,Rural,No,3,21279,53396,0.65,Rejected,High Risk
31,52029,0,55000,36,1,Employed,Graduate,Single,1,Urban,Yes,4,18165,48054,0.68,Rejected,High Risk
38,42829,0,10000,36,1,Unemployed,Not Graduate,Married,0,Semiurban,No,4,13210,26408,0.66,Rejected,High Risk
52,55239,0,32000,84,1,Employed,Not Graduate,Married,,Urban,No,1,21876,69751,0.49,Approved,Low Risk
39,57717,0,31000,180,1,Employed,Not Graduate,Married,4,Semiurban,Yes,0,28053,71974,0.49,Approved,Low Risk
55,28274,0,29000,60,1,Employed,Graduate,Single,0,Urban,No,0,9783,45618,0.35,Approved,Low Risk
46,33263,0,48000,180,1,Employed,Graduate,Married,3,Semiurban,No,3,11754,23820,0.58,Rejected,High Risk
43,62961,0,69000,60,1,Employed,Graduate,Married,3,Rural,No,0,28656,74663,0.47,Approved,Low Risk
52,39968,0,69000,84,1,Employed,Graduate,Single,2,Semiurban,Yes,1,22495,33886,0.64,Rejected,High Risk
34,80988,0,88000,60,,Unemployed,Graduate,Married,2,Semiurban,No,0,36849,86257,0.45,Approved,Low Risk
33,51760,0,86000,180,1,Employed,Graduate,Married,0,Rural,No,1,23487,53264,0.54,Rejected,Medium Risk
31,46412,0,32000,48,0,Unemployed,Graduate,Single,4,Semiurban,No,0,17808,9416,0.44,Rejected,High Risk
44,45602,37589,27000,48,1,Employed,Not Graduate,Married,0,Semiurban,No,1,24852,55227,0.63,Approved,Low Risk
21,25950,55511,22000,180,1,Employed,Not Graduate,Married,1,Semiurban,No,0,7553,0,0.3,Rejected,Low Risk
23,31754,0,35000,60,1,Employed,Graduate,Single,0,Urban,No,0,13422,0,0.42,Rejected,High Risk
42,78916,0,41000,36,1,Unemployed,Graduate,Single,3,Semiurban,No,2,32505,47134,0.56,Approved,Low Risk
34,33470,42041,69000,36,,Employed,Graduate,Married,3,Rural,Yes,1,10603,59654,0.39,Approved,Low Risk
51,44077,48161,68000,180,1,Employed,Graduate,Married,2,Rural,No,0,16160,83614,0.37,Approved,Low Risk
38,45462,0,35000,24,0,Employed,Graduate,Married,3,Urban,No,0,16594,10810,0.37,Rejected,Medium Risk
42,70549,0,51000,84,1,Employed,Not Graduate,Single,2,Urban,No,0,24606,58436,0.35,Approved,Low Risk
33,75600,0,91000,240,0,Employed,Graduate,Single,4,Urban,Yes,0,35879,27220,0.47,Rejected,High Risk
45,91400,0,47000,48,1,Employed,Graduate,Married,1,Semiurban,No,0,39561,122926,0.43,Approved,Low Risk
40,27107,27610,20000,60,1,Unemployed,Graduate,Married,,Rural,No,3,11554,13133,0.71,Rejected,High Risk
39,37893,0,23000,240,1,Employed,Graduate,Married,1,Semiurban,No,0,15591,74149,0.42,Approved,Low Risk
39,47503,0,59000,36,,Employed,Graduate,Married,0,Rural,No,0,22044,90892,0.46,Approved,Low Risk
32,75844,0,28000,48,1,Employed,Not Graduate,Married,0,Semiurban,No,0,42116,76420,0.56,Approved,Low Risk
33,23315,0,12000,12,1,Employed,Graduate,Married,1,Semiurban,No,0,10283,48901,0.47,Approved,Low Risk
39,76127,0,40000,24,1,Employed,Graduate,Single,1,Urban,No,0,39134,94375,0.53,Approved,Low Risk
28,45757,0,57000,36,,Unemployed,Graduate,Married,0,Urban,No,1,13112,83317,0.36,Rejected,Low Risk
21,31441,0,11000,36,1,Unemployed,Graduate,Single,0,Urban,No,0,8972,58452,0.29,Approved,Low Risk
39,62705,0,57000,180,1,Employed,Graduate,Single,4,Urban,No,0,19760,92237,0.32,Approved,Low Risk
41,61396,42805,53000,240,0,Employed,Graduate,Married,0,Urban,No,0,15087,38030,0.29,Approved,Low Risk
57,32662,0,28000,120,1,Employed,Graduate,Married,0,Urban,No,2,13799,35432,0.57,Rejected,Medium Risk
36,58329,25942,92000,12,1,Employed,Graduate,Married,3,Urban,No,0,27116,19733,0.46,Approved,Low Risk
36,38374,0,24000,60,1,Employed,Not Graduate,Married,2,Rural,No,1,17707,47448,0.54,Approved,Low Risk
32,86412,0,102000,120,1,Unemployed,Not Graduate,Married,1,Semiurban,No,0,38010,104146,0.44,Approved,Low Risk
58,67807,0,37000,360,1,Employed,Graduate,Single,1,Urban,No,0,26318,44772,0.4,Approved,Low Risk
49,16097,35185,48000,60,1,Unemployed,Graduate,Married,0,Urban,No,1,6357,35792,0.47,Rejected,Low Risk
36,37336,0,23000,60,1,Employed,Not Graduate,Single,2,Rural,No,1,17694,50395,0.59,Rejected,Medium Risk
45,77221,29502,60000,84,1,Employed,Graduate,Married,3,Rural,Yes,1,38437,44289,0.57,Rejected,Low Risk
40,120979,0,59000,48,1,Unemployed,Not Graduate,Single,0,Urban,No,0,39062,0,0.33,Rejected,Medium Risk
36,39706,0,53000,60,1,Unemployed,Graduate,Married,0,Semiurban,No,0,12790,32567,0.34,Rejected,Low Risk
34,99049,0,81000,180,,Employed,Not Graduate,Single,1,Semiurban,No,1,43432,182496,0.56,Approved,Low Risk
43,28578,35868,36000,36,1,Employed,Not Graduate,Married,0,Rural,No,2,9267,33900,0.55,Approved,Low Risk
34,65278,0,25000,240,1,Employed,Graduate,Single,1,Urban,No,0,28074,97825,0.43,Approved,Low Risk
40,35104,19852,16000,60,,Employed,Not Graduate,Married,1,Urban,No,0,16115,45155,0.46,Approved,Low Risk
33,23626,0,11000,120,1,Unemployed,Graduate,Married,0,Urban,No,1,9094,16726,0.46,Approved,Low Risk
51,61410,0,43000,60,1,Employed,Not Graduate,Married,1,Semiurban,No,0,26792,0,0.44,Rejected,High Risk
41,63050,34553,61000,60,1,Unemployed,Not Graduate,Married,3,Urban,No,1,34976,0,0.63,Rejected,High Risk
39,71138,0,33000,48,1,Employed,Graduate,Single,2,Rural,No,2,26335,104207,0.52,Approved,Low Risk
37,65613,136650,77000,180,1,Employed,Graduate,Married,0,Rural,No,1,26866,29189,0.5,Approved,Low Risk
30,57191,47090,206000,84,1,Employed,Not Graduate,Married,3,Rural,Yes,1,24493,38773,0.51,Rejected,High Risk
47,49836,0,18000,36,1,Unemployed,Graduate,Married,3,Semiurban,No,0,22663,60312,0.45,Approved,Low Risk
31,86162,0,129000,60,1,Employed,Graduate,Single,3,Semiurban,No,0,39648,180345,0.46,Approved,Low Risk
37,75686,0,,60,0,Employed,Graduate,Single,0,Urban,No,0,47553,15161,0.65,Rejected,High Risk
54,112257,0,165000,24,1,Employed,Graduate,Married,0,Rural,No,0,33226,0,0.32,Rejected,High Risk
22,42230,13116,94000,60,1,Employed,Not Graduate,Married,1,Rural,No,0,13931,34930,0.33,Rejected,Low Risk
34,32647,0,45000,36,1,Employed,Graduate,Single,3,Semiurban,No,0,13803,50915,0.42,Rejected,Low Risk
29,71547,0,49000,120,1,Employed,Graduate,Single,3,Urban,Yes,0,31717,172933,0.44,Approved,Low Risk
43,65739,21794,30000,60,1,Employed,Graduate,Married,0,Rural,No,0,21507,119252,0.33,Approved,Low Risk
39,84535,0,35000,180,1,Employed,Not Graduate,Married,1,Semiurban,No,0,40588,71667,0.52,Approved,Low Risk
47,31670,0,21000,36,1,Employed,Not Graduate,Single,3,Semiurban,No,0,12640,33177,0.4,Approved,Low Risk
29,59887,20479,133000,48,1,Employed,Graduate,Married,0,Rural,No,1,22231,45138,0.45,Approved,Low Risk
50,22373,32977,26000,84,1,Employed,Not Graduate,Married,4,Urban,No,0,11078,19883,0.5,Approved,Low Risk
29,48480,0,,60,1,Employed,Not Graduate,Married,3,Semiurban,No,0,15351,72426,0.32,Approved,Low Risk
45,39326,0,17000,60,,Unemployed,Not Graduate,Single,1,Rural,No,0,16148,0,0.44,Rejected,High Risk
28,16174,0,13000,12,0,Unemployed,Graduate,Married,3,Urban,No,1,8167,8561,0.58,Rejected,High Risk
33,42683,0,13000,180,1,Employed,Graduate,Single,4,Semiurban,No,0,20968,62381,0.49,Approved,Low Risk
32,64565,0,24000,120,0,Employed,Not Graduate,Single,4,Urban,No,0,25206,39914,0.39,Approved,Low Risk
42,34838,0,25000,36,1,Employed,Not Graduate,Single,4,Urban,No,0,10790,28915,0.32,Approved,Low Risk
43,42569,23636,43000,36,,Unemployed,Graduate,Married,4,Urban,No,1,15797,131648,0.45,Approved,Low Risk
36,42892,0,33000,84,0,Unemployed,Graduate,Married,2,Rural,No,1,12446,0,0.37,Rejected,High Risk
43,68347,0,43000,60,1,Unemployed,Graduate,Single,2,Urban,No,1,21240,62230,0.43,Approved,Low Risk
53,62100,0,27000,84,1,Employed,Graduate,Single,3,Semiurban,No,2,26506,105841,0.62,Approved,Low Risk
27,63242,32032,45000,24,1,Employed,Graduate,Married,0,Rural,Yes,0,18556,55731,0.29,Approved,Low Risk
42,47714,0,39000,36,1,Unemployed,Graduate,Single,2,Urban,No,0,19234,45205,0.4,Approved,Low Risk
35,70366,0,25000,24,1,Unemployed,Graduate,Married,2,Rural,No,0,32161,65016,0.48,Approved,Low Risk
51,30392,0,22000,36,1,Employed,Not Graduate,Single,1,Rural,No,1,10454,40857,0.42,Approved,Low Risk
32,54089,0,42000,36,1,Employed,Graduate,Single,0,Rural,No,0,27687,40703,0.51,Rejected,Low Risk
33,44911,46388,115000,36,1,Employed,Graduate,Married,0,Urban,No,1,16802,40504,0.47,Approved,Low Risk
33,49382,0,35000,60,0,Unemployed,Graduate,Single,3,Semiurban,No,0,21635,11465,0.44,Rejected,High Risk
40,23691,0,24000,120,0,Unemployed,Graduate,Single,4,Urban,No,0,10591,8147,0.45,Rejected,High Risk
36,43062,0,64000,12,1,Employed,Not Graduate,Single,1,Rural,No,1,15294,37030,0.49,Rejected,Medium Risk
40,57371,0,115000,120,0,Employed,Not Graduate,Single,3,Rural,No,4,28862,28561,0.81,Rejected,High Risk
35,85317,0,142000,180,1,Employed,Graduate,Single,0,Urban,Yes,2,37391,51556,0.62,Rejected,High Risk
38,40297,33107,71000,36,1,Unemployed,Not Graduate,Married,0,Urban,No,0,12113,40861,0.32,Approved,Low Risk
39,68493,0,66000,180,1,Unemployed,Not Graduate,Married,3,Rural,No,0,25360,89839,0.37,Approved,Low Risk
32,49412,78850,33000,180,1,Employed,Graduate,Married,0,Rural,Yes,1,22567,55614,0.53,Approved,Low Risk
22,55077,23094,90000,240,0,Employed,Not Graduate,Married,2,Semiurban,No,0,20517,8388,0.4,Rejected,High Risk
42,123381,0,73000,60,1,Employed,Not Graduate,Single,3,Rural,No,2,50814,142566,0.59,Approved,Low Risk
55,43465,27244,49000,48,1,Employed,Not Graduate,Married,1,Urban,Yes,3,13078,16769,0.53,Approved,Medium Risk
48,47004,53942,79000,48,,Unemployed,Not Graduate,Married,0,Semiurban,No,0,18812,0,0.4,Rejected,High Risk
40,74494,0,64000,12,0,Employed,Graduate,Single,2,Urban,No,3,29029,20009,0.65,Rejected,High Risk
43,78017,24950,119000,60,1,Employed,Graduate,Married,4,Rural,No,1,27943,34718,0.48,Approved,Low Risk
38,57364,35977,113000,12,1,Employed,Not Graduate,Married,1,Semiurban,No,0,21507,73393,0.37,Approved,Low Risk
26,54112,0,30000,60,1,Employed,Not Graduate,Single,4,Semiurban,No,0,26424,11605,0.5,Approved,Low Risk
33,88995,36733,128000,60,1,Employed,Not Graduate,Married,1,Urban,No,0,39688,43384,0.45,Approved,Low Risk
40,59926,20424,111000,36,0,Employed,Not Graduate,Married,4,Rural,Yes,0,28854,16997,0.5,Rejected,High Risk
59,71974,39263,61000,180,,Employed,Graduate,Married,2,Urban,No,0,33313,95914,0.47,Approved,Low Risk
43,76793,0,35000,240,1,Employed,Not Graduate,Married,1,Semiurban,No,1,36204,94706,0.55,Approved,Low Risk
27,28827,0,10000,60,,Employed,Graduate,Married,1,Rural,No,1,9621,61072,0.48,Approved,Low Risk
21,50857,24424,71000,24,1,Employed,Graduate,Married,1,Rural,No,0,14939,76376,0.29,Approved,Low Risk
47,30186,0,17000,84,1,Unemployed,Graduate,Single,3,Urban,No,1,12467,33477,0.51,Rejected,Medium Risk
43,45860,32454,39000,60,0,Employed,Graduate,Married,0,Urban,No,0,18224,25695,0.45,Approved,Low Risk
38,31363,0,36000,48,1,Unemployed,Graduate,Single,0,Urban,No,3,14991,27363,0.72,Rejected,High Risk
24,54532,26018,65000,36,1,Employed,Not Graduate,Married,4,Semiurban,No,0,22252,39776,0.44,Approved,Low Risk
40,61837,0,56000,36,1,Employed,Not Graduate,Married,2,Urban,No,1,25585,109714,0.49,Approved,Low Risk
42,30543,11597,35000,240,1,Employed,Not Graduate,Married,4,Urban,No,1,12914,46334,0.5,Approved,Low Risk
29,51570,16887,57000,180,1,Employed,Graduate,Married,1,Semiurban,No,0,19388,61956,0.38,Approved,Low Risk
54,38695,24071,29000,60,1,Employed,Graduate,Married,0,Urban,No,1,17917,0,0.57,Rejected,High Risk
34,33527,55912,93000,60,1,Employed,Not Graduate,Married,0,Urban,Yes,0,10955,0,0.36,Approved,High Risk
31,97550,0,,60,1,Employed,Not Graduate,Single,1,Rural,No,0,23159,78308,0.24,Approved,Low Risk
32,17150,0,17000,60,1,Employed,Not Graduate,Single,3,Urban,No,3,8451,18662,0.76,Rejected,High Risk
36,79248,0,107000,120,1,Unemployed,Graduate,Married,3,Urban,No,0,32779,60931,0.41,Approved,Low Risk
38,87058,0,28000,84,1,Employed,Not Graduate,Single,0,Rural,No,0,41085,117269,0.47,Approved,Low Risk
46,64065,0,113000,48,1,Employed,Graduate,Married,0,Urban,No,4,20043,80959,0.61,Rejected,High Risk
33,58124,0,114000,180,1,Employed,Graduate,Single,4,Urban,No,0,31676,37140,0.54,Rejected,Medium Risk
47,40281,0,11000,48,1,Employed,Graduate,Single,0,Semiurban,No,0,14807,46061,0.37,Approved,Low Risk
36,46691,0,17000,60,1,Employed,Graduate,Married,1,Urban,No,4,21054,0,0.76,Rejected,High Risk
36,80561,0,57000,36,1,Employed,Not Graduate,Married,,Semiurban,No,0,35477,68337,0.44,Approved,Low Risk
34,74526,41979,105000,240,0,Employed,Graduate,Married,0,Urban,No,1,33996,25865,0.54,Rejected,High Risk
42,50956,0,,12,1,Employed,Graduate,Single,1,Urban,Yes,1,21408,43225,0.51,Approved,Low Risk
46,44285,0,34000,48,1,Employed,Graduate,Single,3,Urban,No,0,20706,26473,0.47,Approved,Low Risk
38,31957,15610,56000,84,1,Employed,Graduate,Married,1,Rural,No,0,13658,38757,0.45,Approved,Low Risk
30,117052,0,97000,180,1,Employed,Graduate,Single,4,Urban,Yes,0,62667,0,0.56,Rejected,High Risk
45,29388,0,20000,36,1,Employed,Graduate,Single,0,Urban,No,0,14992,59896,0.51,Approved,Low Risk
28,29087,21473,41000,360,1,Employed,Not Graduate,Married,1,Semiurban,Yes,0,9126,17432,0.33,Approved,Low Risk
43,58992,0,74000,60,1,Employed,Graduate,Married,4,Semiurban,No,2,25401,76276,0.61,Approved,Medium Risk
32,33819,0,40000,60,1,Employed,Not Graduate,Married,0,Urban,No,0,15490,50487,0.47,Rejected,Low Risk
40,22076,27561,11000,120,1,,Graduate,Married,2,Urban,No,2,12440,21107,0.71,Rejected,Medium Risk
36,21541,23412,39000,48,1,Employed,Graduate,Married,3,Rural,No,3,8047,29470,0.6,Rejected,Medium Risk
31,60188,0,39000,12,0,Employed,Not Graduate,Single,1,Semiurban,No,2,31957,27977,0.7,Approved,High Risk
36,30590,0,28000,60,1,Employed,Graduate,Single,1,Rural,No,0,9180,18288,0.34,Approved,Low Risk
39,70380,15798,118000,48,1,Employed,Not Graduate,Married,0,Urban,No,0,24790,105430,0.35,Approved,Low Risk
45,42964,33408,54000,36,1,Employed,Graduate,Married,0,Semiurban,Yes,0,14556,60662,0.38,Approved,Low Risk
43,39497,0,52000,360,1,Unemployed,Graduate,Married,1,Semiurban,No,0,13968,24009,0.37,Rejected,Low Risk
45,15537,0,10000,60,1,Employed,Graduate,Married,3,Urban,Yes,0,7762,10862,0.5,Approved,Low Risk
27,142760,0,150000,120,1,Employed,Not Graduate,Single,3,Semiurban,No,0,77199,248914,0.6,Rejected,Low Risk
44,51359,0,55000,36,1,Employed,Graduate,Married,3,Urban,Yes,0,23104,52382,0.45,Approved,Low Risk
59,136823,36919,193000,60,1,Employed,Graduate,Married,0,Urban,No,0,55569,229551,0.49,Approved,Low Risk
40,27586,21212,21000,60,1,Employed,Graduate,Married,1,Urban,No,2,7102,85,0.41,Rejected,Low Risk
33,32299,24660,55000,60,1,Employed,Graduate,Married,0,Urban,No,0,12405,22917,0.4,Approved,Low Risk
40,72319,0,98000,48,1,Employed,Not Graduate,Single,2,Urban,No,1,32166,42904,0.52,Approved,Low Risk
48,125300,47034,91000,36,1,,Graduate,Married,4,Semiurban,No,1,74019,123426,0.67,Approved,Low Risk
